OBJECTID,Record_ID,Offense_Code,Offense_Ext,Offense_Category,Description,Police_District,Beat,Grid,Occurence_Date
1,871342,2202,0,BURGLARY,459 PC BURG RESIDENCE-FORCE,5,5B,1603,2022/03/30 23:40:00+00
2,1562297,2803,0,STOLEN PROP,496(A) REC STOLEN PROP-FEL,5,5A,1393,2022/01/01 09:38:00+00
3,1562302,5202,11,WEAPON OFFENSE,25400(A)(1) CCW IN VEHICLE-FEL,2,2C,0601,2022/01/01 09:38:00+00
4,1562344,2404,0,STOLEN VEHICLE,10851(A)VC TAKE VEH W/O OWNER,3,3B,0748,2022/01/01 10:00:00+00
5,1562347,5404,000,TRAFFIC,23152(A) DUI ALCOHOL,5,5A,1522,2022/01/01 10:03:00+00
6,1562370,1399,4,BATTERY,243(D) BATTERY CIVILIAN W/INJ,3,3M,0744,2022/01/01 10:00:00+00
7,1562372,2204,0,BURGLARY,459 PC BURG RESIDENCE-NO FORCE,4,4B,1336,2022/01/01 13:12:00+00
8,1562375,2203,0,BURGLARY,459 PC BURG BUSINESS-FORCE,2,2A,0221,2022/01/01 08:07:00+00
9,1562383,5499,15,TRAFFIC,23103(A) RECKLESS ON HIGHWAY,4,4A,0945,2022/01/01 22:23:00+00
10,1562384,5499,15,TRAFFIC,23103(A) RECKLESS ON HIGHWAY,4,4A,0944,2022/01/01 23:19:00+00
11,1562385,2602,0,FRAUD,FRAUD-SWINDLE,4,4C,1261,2022/01/01 22:10:00+00
12,1562387,5212,57A,WEAPON OFFENSE,21810 POSS METAL KNUCKLES-MISD,6,6D,0832,2022/01/01 12:14:00+00
13,1562390,5202,11,WEAPON OFFENSE,25400(A)(1) CCW IN VEHICLE-FEL,1,1A,0325,2022/01/01 08:54:00+00
14,1562392,5212,02,WEAPON OFFENSE,417(A)2) PC BRANDISH FIREARM,6,6B,1084,2022/01/01 10:17:00+00
15,1562403,5213,5,WEAPON OFFENSE,246.3(A) NEGL DISCH FIREARM-F,1,1B,0434,2022/01/01 20:14:00+00
16,1562408,4801,0,OBSTRUCTING,148(A)(1)PC RESIST PEACE OFFCR,2,2C,0619,2022/01/02 00:04:00+00
17,1562448,2404,13,AUTO THEFT,O/S AGENCY  10851 VC LOCATE,2,2A,0516,2022/01/01 19:57:00+00
18,1562455,2404,13,AUTO THEFT,O/S AGENCY  10851 VC LOCATE,4,4A,0905,2022/01/02 03:59:00+00
19,1562458,2604,0,FRAUD,529(A) FALSE PERSONATION-FEL,2,2B,0553,2022/01/02 03:28:00+00
20,1562462,2404,0,STOLEN VEHICLE,10851(A)VC TAKE VEH W/O OWNER,3,3M,0742,2022/01/01 16:28:00+00
21,1562470,2399,4,LARCENY,484 PETTY THEFT/LICENSE PLATE,1,1A,0336,2022/01/02 18:21:00+00
22,1562485,5404,01,TRAFFIC,23152(B) DUI BAC >.08,1,1B,0404,2022/01/02 07:40:00+00
