neighborhood,month_name,month,curr.total.crimes,year,change.total.rel.last.month,direction.change.rel.last.month,abs.change.total,prev.total.crimes,curr_month_name,curr_month,curr_city_ordinance_or_code_violations,curr_disorderly_conduct_drunk_in_public_disturbing_the_peace,curr_environmental_crimes,curr_financial_crimes,curr_forgery_and_counterfeiting,curr_fugitive_from_justice,curr_incident_report_filed,curr_judiciary_violations,curr_narcotics_crimes,curr_obstruction_of_justice,curr_property_crimes,curr_releases_from_arrest,curr_resisting_arrest,curr_sex_crimes,curr_sex_offender_registrations,curr_towed_vehicles,curr_traffic_violations_dui_reckless_driving_accidents,curr_trespassing,curr_vehicle_tampering,curr_violent_crimes,curr_weapon_related_crimes,curr_minor_infractions,curr_unauthorized_fire_fireworks,curr_general_health_and_safety_violation,curr_unknown,prev_month_name,prev_month,prev_city_ordinance_or_code_violations,prev_disorderly_conduct_drunk_in_public_disturbing_the_peace,prev_environmental_crimes,prev_financial_crimes,prev_forgery_and_counterfeiting,prev_fugitive_from_justice,prev_incident_report_filed,prev_judiciary_violations,prev_narcotics_crimes,prev_obstruction_of_justice,prev_property_crimes,prev_releases_from_arrest,prev_resisting_arrest,prev_sex_crimes,prev_sex_offender_registrations,prev_towed_vehicles,prev_traffic_violations_dui_reckless_driving_accidents,prev_trespassing,prev_vehicle_tampering,prev_violent_crimes,prev_weapon_related_crimes,prev_minor_infractions,prev_unauthorized_fire_fireworks,prev_general_health_and_safety_violation,prev_unknown,no_crime_flag
Airport,June,6,8,2022,-1,down,1,9,June,6,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,3,0,0,1,0,0,0,0,0,May,5,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0
Alhambra Triangle,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,THERE ARE NO CRIMES REPORTED FOR THIS NEIGHBORHOOD
Alkali Flat,June,6,6,2022,-6,down,6,12,June,6,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,2,0,0,0,0,0,0,0,0,May,5,0,1,0,0,2,0,0,0,0,0,8,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
American River Parkway,June,6,25,2022,-10,down,10,35,June,6,0,0,0,0,0,0,0,1,1,0,14,0,0,0,0,0,6,0,0,3,0,0,0,0,0,May,5,0,0,0,0,1,0,0,0,0,0,21,0,0,0,0,2,6,0,0,4,1,0,0,0,0,0
Arden Fair,June,6,35,2022,-1,down,1,36,June,6,0,0,0,0,0,0,0,0,0,0,29,0,0,0,0,0,3,0,0,3,0,0,0,0,0,May,5,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,1,4,1,0,1,2,0,0,0,0,0
Avondale,June,6,8,2022,-6,down,6,14,June,6,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,3,0,0,0,0,0,May,5,0,0,0,0,1,0,0,0,1,0,4,0,0,0,0,2,4,0,0,2,0,0,0,0,0,0
Belvedere,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,THERE ARE NO CRIMES REPORTED FOR THIS NEIGHBORHOOD
Ben Ali,June,6,24,2022,-7,down,7,31,June,6,0,0,0,0,1,0,0,0,1,0,15,0,0,0,0,0,4,0,0,1,2,0,0,0,0,May,5,0,0,0,0,2,0,0,0,0,1,9,0,0,0,0,2,13,0,1,2,1,0,0,0,0,0
Boulevard Park,June,6,28,2022,-1,down,1,29,June,6,1,0,0,0,0,0,0,0,1,0,17,0,0,0,0,0,3,0,0,6,0,0,0,0,0,May,5,0,0,0,0,0,0,0,2,2,0,19,0,0,0,0,0,5,0,0,1,0,0,0,0,0,0
Brentwood,June,6,2,2022,-2,down,2,4,June,6,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,May,5,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
