neighborhood,total.crime.statement,total.crime.change.statement
Airport,There were 8 crimes recorded during the month of June.,That's down 1 from the previous month's total of 9.
Alhambra Triangle,There have been no crimes recorded in this neighborhood this year.,There have been no crimes recorded in this neighborhood this year.
Alkali Flat,There were 6 crimes recorded during the month of June.,That's down 6 from the previous month's total of 12.
American River Parkway,There were 25 crimes recorded during the month of June.,That's down 10 from the previous month's total of 35.
Arden Fair,There were 35 crimes recorded during the month of June.,That's down 1 from the previous month's total of 36.
Avondale,There were 8 crimes recorded during the month of June.,That's down 6 from the previous month's total of 14.
Belvedere,There have been no crimes recorded in this neighborhood this year.,There have been no crimes recorded in this neighborhood this year.
Ben Ali,There were 24 crimes recorded during the month of June.,That's down 7 from the previous month's total of 31.
Boulevard Park,There were 28 crimes recorded during the month of June.,That's down 1 from the previous month's total of 29.
Brentwood,There were 2 crimes recorded during the month of June.,That's down 2 from the previous month's total of 4.
Cal Expo,There were 1 crimes recorded during the month of April.,That's down 2 from the previous month's total of 3.
Campus Commons,There were 5 crimes recorded during the month of June.,That's down 8 from the previous month's total of 13.
Cannon Industrial Park,There were 3 crimes recorded during the month of June.,That's down 2 from the previous month's total of 5.
Carleton Tract,There have been no crimes recorded in this neighborhood this year.,There have been no crimes recorded in this neighborhood this year.
Central Oak Park,There were 27 crimes recorded during the month of June.,That's no change from the previous month's total of 27.
College Town,There were 15 crimes recorded during the month of June.,That's down 12 from the previous month's total of 27.
College/Glen,There were 30 crimes recorded during the month of June.,That's down 23 from the previous month's total of 53.
Colonial Heights,There were 5 crimes recorded during the month of June.,That's up 1 from the previous month's total of 4.
Colonial Manor,There were 2 crimes recorded during the month of June.,That's down 5 from the previous month's total of 7.
Colonial Village,There were 8 crimes recorded during the month of June.,That's up 1 from the previous month's total of 7.
Creekside,There were 11 crimes recorded during the month of June.,That's down 5 from the previous month's total of 16.
CSUS,There were 12 crimes recorded during the month of June.,That's no change from the previous month's total of 12.
Curtis Park,There were 37 crimes recorded during the month of June.,That's up 3 from the previous month's total of 34.
Del Paso Heights,There were 23 crimes recorded during the month of June.,That's no change from the previous month's total of 23.
Del Paso Park,There were 9 crimes recorded during the month of June.,That's down 12 from the previous month's total of 21.
Depot Park,There have been no crimes recorded in this neighborhood this year.,There have been no crimes recorded in this neighborhood this year.
