neighborhood,total.crime.statement,total.crime.number,total.crime.change.statement,total.crime.city.statement,total.crime.city.change.statement
Airport,There were 8 crimes recorded during the month of June.,8,That's down 1 from the previous month's total of 9.,There were 2832 crimes recorded across all of Sacramento during the month of June.,That's down 381 from the previous month's total of 3213.
Alhambra Triangle,There have been no crimes recorded in this neighborhood this year.,0,There have been no crimes recorded in this neighborhood this year.,There were 2832 crimes recorded across all of Sacramento during the month of June.,That's down 381 from the previous month's total of 3213.
Alkali Flat,There were 6 crimes recorded during the month of June.,6,That's down 6 from the previous month's total of 12.,There were 2832 crimes recorded across all of Sacramento during the month of June.,That's down 381 from the previous month's total of 3213.
American River Parkway,There were 25 crimes recorded during the month of June.,25,That's down 10 from the previous month's total of 35.,There were 2832 crimes recorded across all of Sacramento during the month of June.,That's down 381 from the previous month's total of 3213.
Arden Fair,There were 35 crimes recorded during the month of June.,35,That's down 1 from the previous month's total of 36.,There were 2832 crimes recorded across all of Sacramento during the month of June.,That's down 381 from the previous month's total of 3213.
Avondale,There were 8 crimes recorded during the month of June.,8,That's down 6 from the previous month's total of 14.,There were 2832 crimes recorded across all of Sacramento during the month of June.,That's down 381 from the previous month's total of 3213.
Belvedere,There have been no crimes recorded in this neighborhood this year.,0,There have been no crimes recorded in this neighborhood this year.,There were 2832 crimes recorded across all of Sacramento during the month of June.,That's down 381 from the previous month's total of 3213.
Ben Ali,There were 24 crimes recorded during the month of June.,24,That's down 7 from the previous month's total of 31.,There were 2832 crimes recorded across all of Sacramento during the month of June.,That's down 381 from the previous month's total of 3213.
Boulevard Park,There were 28 crimes recorded during the month of June.,28,That's down 1 from the previous month's total of 29.,There were 2832 crimes recorded across all of Sacramento during the month of June.,That's down 381 from the previous month's total of 3213.
Brentwood,There were 2 crimes recorded during the month of June.,2,That's down 2 from the previous month's total of 4.,There were 2832 crimes recorded across all of Sacramento during the month of June.,That's down 381 from the previous month's total of 3213.
Cal Expo,There were 1 crimes recorded during the month of April.,1,That's down 2 from the previous month's total of 3.,There were 2832 crimes recorded across all of Sacramento during the month of June.,That's down 381 from the previous month's total of 3213.
Campus Commons,There were 5 crimes recorded during the month of June.,5,That's down 8 from the previous month's total of 13.,There were 2832 crimes recorded across all of Sacramento during the month of June.,That's down 381 from the previous month's total of 3213.
Cannon Industrial Park,There were 3 crimes recorded during the month of June.,3,That's down 2 from the previous month's total of 5.,There were 2832 crimes recorded across all of Sacramento during the month of June.,That's down 381 from the previous month's total of 3213.
Carleton Tract,There have been no crimes recorded in this neighborhood this year.,0,There have been no crimes recorded in this neighborhood this year.,There were 2832 crimes recorded across all of Sacramento during the month of June.,That's down 381 from the previous month's total of 3213.
Central Oak Park,There were 27 crimes recorded during the month of June.,27,That's no change from the previous month's total of 27.,There were 2832 crimes recorded across all of Sacramento during the month of June.,That's down 381 from the previous month's total of 3213.
College Town,There were 15 crimes recorded during the month of June.,15,That's down 12 from the previous month's total of 27.,There were 2832 crimes recorded across all of Sacramento during the month of June.,That's down 381 from the previous month's total of 3213.
