neighborhood,touches
Airport,"South Land Park,Mangan Park,Brentwood,Freeport Manor,Golf Course Terrace,Woodbine"
Alhambra Triangle,"East Sacramento,Midtown / Winn Park / Capital Avenue,Curtis Park,Elmhurst,Med Center,North Oak Park,Newton Booth"
Alkali Flat,"Southern Pacific / Richards,Mansion Flats,Downtown"
American River Parkway,"South Natomas,Gardenland,Old North Sacramento,Gateway Center,Natomas Corporate Center,River Gardens,Woodlake,Point West,Southern Pacific / Richards,Johnson Business Park"
Arden Fair,"Swanston Estates,Point West,Cal Expo"
Avondale,"Colonial Village,Fruitridge Manor,Glen Elder,Southeast Village,Elder Creek,Power Ridge"
Belvedere,"Granite Regional Park,Colonial Manor,New Brighton,Power Ridge,Ramona Village"
Ben Ali,"Del Paso Park,Hagginwood,Cannon Industrial Park,Swanston Estates,Erikson Industrial Park"
Boulevard Park,"Mansion Flats,New Era Park,Downtown,Marshall School,Midtown / Winn Park / Capital Avenue"
Brentwood,"North City Farms,South City Farms,Mangan Park,Airport,Woodbine"
Cal Expo,"Arden Fair,Point West,River Park"
Campus Commons,"River Park,Sierra Oaks,CSUS,College Town"
Cannon Industrial Park,"Del Paso Park,Hagginwood,South Hagginwood,Ben Ali,Old North Sacramento,Erikson Industrial Park"
Carleton Tract,"Land Park,Curtis Park,SCC,South Land Park,North City Farms,Hollywood Park"
Central Oak Park,"Curtis Park,North Oak Park,Fairgrounds,South Oak Park,North City Farms,Colonial Heights,West Tahoe Park"
College Town,"Campus Commons,CSUS,College/Glen,Granite Regional Park,Ramona Village"
College/Glen,"Granite Regional Park,Ramona Village,College Town"
Colonial Heights,"Tahoe Park,Central Oak Park,Tahoe Park South,Lawrence Park,Tallac Village,Fruitridge Manor,West Tahoe Park"
Colonial Manor,"Tahoe Park,Tahoe Park East,Granite Regional Park,Tahoe Park South,Tallac Village,Colonial Village,Belvedere,Power Ridge,Ramona Village"
Colonial Village,"Colonial Manor,Avondale,Elder Creek,Power Ridge"
Creekside,"Natomas Creek,Westlake,RP - Sports Complex,Sundance Lake,Greenbriar,Village 7,Natomas Park"
CSUS,"River Park,East Sacramento,Campus Commons,Ramona Village,College Town"
Curtis Park,"Land Park,Alhambra Triangle,North Oak Park,Central Oak Park,SCC,South Oak Park,North City Farms,Carleton Tract,Newton Booth"
Del Paso Heights,"Robla,Youngs Heights,East Del Paso Heights,Parker Homes,West Del Paso Heights,Hagginwood"
Del Paso Park,"East Del Paso Heights,Hagginwood,Ben Ali,Cannon Industrial Park"
Depot Park,"Florin Fruitridge Industrial Park,New Brighton,Elder Creek,Morrison Creek,Power Ridge"
Dos Rios Triangle,Southern Pacific / Richards
Downtown,"Southern Pacific / Richards,Alkali Flat,Mansion Flats,Old Sacramento,Boulevard Park,Midtown / Winn Park / Capital Avenue,Southside Park,Richmond Grove"
East Del Paso Heights,"Raley Industrial Park,Youngs Heights,Village Green,Parker Homes,Del Paso Park,Del Paso Heights,Hagginwood"
East Sacramento,"River Park,New Era Park,Marshall School,Midtown / Winn Park / Capital Avenue,CSUS,Alhambra Triangle,Elmhurst,Tahoe Park,Tahoe Park East,Newton Booth,Ramona Village"
Elder Creek,"Colonial Village,Depot Park,Avondale,Glen Elder,Morrison Creek,Power Ridge"
Elmhurst,"East Sacramento,Alhambra Triangle,Med Center,Tahoe Park,Fairgrounds"
Erikson Industrial Park,"Ben Ali,Cannon Industrial Park,Swanston Estates,Old North Sacramento,Woodlake,Point West,Johnson Business Park"
Fairgrounds,"Elmhurst,Med Center,North Oak Park,Tahoe Park,Central Oak Park,West Tahoe Park"
Florin Fruitridge Industrial Park,"Depot Park,New Brighton,Morrison Creek,Power Ridge"
Freeport Manor,"South Land Park,Airport"
Fruitridge Manor,"Colonial Heights,Lawrence Park,Tallac Village,Avondale,Southeast Village"
Gardenland,"South Natomas,Northgate,River Gardens,American River Parkway"
